Date,Austin Precipitation,Austin Temperature (max),Austin, Temperature (min),Austin Temperature(min),New York Precipitation,New York, Temperature (max),New York Temperature(max),New York, Temperature (min),New York Temperature(min),San Francisco Precipitation,San Francisco Temperature (max),San Francisco Temperature (min)
1/1/2010,0,12.8,,3.3,3.3,0.8,4.4,,4.4,0.6,,0.6,0,13.9,10
1/2/2010,0,13.3,,4.4,4.4,0.5,1.1,,1.1,,8.3,8.3,0,12.8,9.4
1/3/2010,0,9.4,,0.6,0.6,0,,5.6,5.6,,8.3,8.3,0,12.8,7.8
1/4/2010,0,8.3,,2.8,2.8,0,,1.1,1.1,,7.2,7.2,0,12.2,7.8
1/5/2010,0,9.4,,6.1,6.1,0,,1.1,1.1,,6.7,6.7,0,16.1,5.6
1/6/2010,0.5,11.1,,2.8,2.8,0,1.1,,1.1,,3.3,3.3,0,12.2,7.8
1/7/2010,0,11.7,,2.2,2.2,0,2.8,,2.8,,1.1,1.1,0,11.7,10
1/8/2010,0,1.7,,10.6,10.6,1.3,0.6,,0.6,,5,5,0,12.2,8.3
1/9/2010,0,5.6,,12.2,12.2,0,,1.1,1.1,,7.8,7.8,0,12.2,6.7
1/10/2010,0,8.9,,10.6,10.6,0,,2.2,2.2,,10,10,0,11.1,7.2
1/11/2010,0,13.9,,8.9,8.9,0,,0.6,0.6,,6.1,6.1,0,13.3,8.3
1/12/2010,0,18.9,,2.2,2.2,0,1.7,,1.7,,4.4,4.4,8.9,16.7,11.7
1/13/2010,0.5,14.4,0,,0,0,1.7,,1.7,,4.4,4.4,0.3,15.6,10.6
1/14/2010,17,15.6,10,,10,0,5.6,,5.6,,1.1,1.1,0,15,7.2
1/15/2010,33.5,13.3,7.2,,7.2,0,10,,10,1.7,,1.7,0,12.2,7.8
1/16/2010,2.5,16.7,5,,5,0,9.4,,9.4,3.3,,3.3,0,13.9,7.8
1/17/2010,0,17.2,0.6,,0.6,14.5,7.8,,7.8,1.7,,1.7,2.5,13.3,10.6
1/18/2010,0,21.7,1.7,,1.7,1.3,10,,10,2.8,,2.8,17.5,14.4,10.6
1/19/2010,0,22.8,12.8,,12.8,0,8.9,,8.9,4.4,,4.4,38.6,14.4,10
1/20/2010,0,23.3,13.9,,13.9,0,5,,5,1.1,,1.1,30,12.8,9.4
1/21/2010,0,25,3.3,,3.3,0,5,,5,,0.6,0.6,25.1,10.6,6.1
1/22/2010,0,24.4,2.2,,2.2,0,6.7,,6.7,0,,0,7.4,9.4,6.7
1/23/2010,0,22.2,10,,10,0,4.4,,4.4,,2.2,2.2,6.1,12.2,7.2
1/24/2010,0,18.9,1.7,,1.7,0.5,10,,10,0,,0,0.5,12.2,6.1
1/25/2010,0,20,,1.7,1.7,31.8,13.9,,13.9,9.4,,9.4,7.1,13.9,10
1/26/2010,0,20.6,,1.1,1.1,0,9.4,,9.4,1.7,,1.7,3.3,11.7,8.3
1/27/2010,0,21.1,10.6,,10.6,0,3.9,,3.9,,0.6,0.6,0,12.2,6.1
1/28/2010,2.8,20,16.1,,16.1,2.3,5.6,,5.6,,6.7,6.7,0,13.3,7.8
1/29/2010,26.7,18.3,0.6,,0.6,0,,5,5,,8.9,8.9,4.3,15.6,7.8
1/30/2010,0,7.8,,0.6,0.6,0,,6.7,6.7,,10.6,10.6,0,14.4,6.7
1/31/2010,0,2.2,,1.1,1.1,0,,1.1,1.1,,10,10,0,12.8,8.3
2/1/2010,0.3,7.8,1.7,,1.7,0,1.7,,1.7,,3.9,3.9,0,14.4,8.3
2/2/2010,0,12.2,7.2,,7.2,0.8,0.6,,0.6,,2.8,2.8,0,13.3,8.3
2/3/2010,23.1,9.4,7.8,,7.8,1.5,3.9,,3.9,,1.7,1.7,0,15.6,6.7
2/4/2010,12.2,8.9,8.3,,8.3,0,2.8,,2.8,,2.2,2.2,9.9,15,10
2/5/2010,0,15,3.3,,3.3,0,2.2,,2.2,,1.7,1.7,0,16.7,8.3
2/6/2010,0,15,,0.6,0.6,0,0.6,,0.6,,6.7,6.7,4.8,13.9,10
2/7/2010,0,11.1,5,,5,0,1.1,,1.1,,8.3,8.3,0,13.9,10
2/8/2010,11.7,20,7.2,,7.2,0,2.8,,2.8,,5,5,1.3,12.8,8.9
2/9/2010,0,8.9,,1.1,1.1,0,5.6,,5.6,,2.2,2.2,5.1,13.3,8.3
2/10/2010,1.3,4.4,,1.1,1.1,33.8,1.1,,1.1,,1.1,1.1,0,13.9,7.8
