position,company,description,numreview,location,city
Data ScientistÅEÄÅEResearch (Ref # EXEC/RD_DAT_NYC_6073),New York State Office of the Attorney General (OAG),"Executive Division ˚Ä˚ Research and Analytics DepartmentData Scientist ˚Ä˚ New York CityReference No: EXEC/RD_DAT_NYC_6073**PLEASE NOTE: To be considered for this position, applications must be submitted online through the OAG jobs pages, www.ag.ny.gov/job-postings. Please be advised that submissions received through Indeed do not constitute complete applications for our purposes**GoalThe Research and Analytics Department in the New York State Office of the Attorney General (˚Ä˚OAG˚Ä˚) is seeking a candidate for a full-time Data Scientist position to explore datasets, develop new databases and use predictive modeling to detect anomalies in information pertinent to OAG investigations. The goal of the Data Scientist at the OAG is to ensure that our most complicated cases and policy arenas have the benefit of advanced analytical tools to understand how otherwise elusive trends can be laid bare once we dive into the underlying data.PurviewAs part of an innovative team housed in the Executive Division, the selected candidate will work with senior staff and divisions through the OAG to support the OAG's major initiatives, investigations, and policy development. Our team researches and writes analytical reports garnering national attention, directs multi-million dollar grant programs, and supports the office˚Ä˚s major investigations. See, for example, Target on Traffickingand Ticket Sales Report. Utilizing a vast collection of public and confidential information, the selected candidate will work with data covering the breadth of the OAG˚Ä˚s purview building advanced analytic tools to inform investigations that impact the lives of all New Yorkers.Employing over 1,700 people across New York State, the OAG is both the ˚Ä˚People's Lawyer˚Ä˚ and the State's chief legal officer. The Data Scientist will support OAG work in numerous legal and regulatory arenas, including protecting the rights of investors and consumers, coordinating state-wide criminal investigations, promoting economic and social justice, encouraging harm-reducing public health strategies, and preserving the State˚Ä˚s environment. The OAG also advises the Executive branch of State government and defends actions and proceedings on behalf of the State.ResponsibilitiesThe OAG has a rich source of public and confidential data. The Data Scientist will be primarily responsible for the following:Exploring and analyzing dataCommunicating findings through written reports and visualizationsAdditional responsibilities may include: Developing predictive modeling to detect anomaliesDeveloping or programming new databases or data toolsPerforming other duties as requestedQualifications/SkillsAdvanced degree in computer science, mathematics, applied statistics, physics, engineering or similar disciplines with demonstrated research capability or bachelorÅEÄÅEs degree and equivalent experience and training;Experience with the following technologies:Programming, scripting and statistical languages (e.g. Python, R, use of dataframes)Data visualization softwar",0 reviews,"New York, NY",New York
Data Scientist/Pre Sales Engineer,Celonis,"Celonis is the world's leading process mining software company. Process Mining is a new big data analytics technology designed to help customers to optimize their operations. Process Mining goes through the already existing log data every IT system produces and finds out where you can improve.Founded in Munich in 2011, we have expanded into 25 countries and claims clients such as Siemens, KPMG, Deloitte, Bayer, and Vodafone, among others. We create innovation with passion, perform with team spirit, and think with ambition. Our vision is big - which is why big data is exactly our thing.OUR VISION: Help every business in the world run more efficiently.We use highly advanced big data and machine learning technology to collect and analyze the digital footprints companies create in their day-to-day operations, and are able to detect inefficiencies, compliance violations and unnecessary business process complexity in real-time. Solving this transformational problem, we are on an exciting mission to build a new global leader in the enterprise software domain.ABOUT THIS ROLE: As our Data Scientist/Pre Sales Engineer, you will support the Celonis sales team in your region in the analysis, strategic solution design and closing of new customers. We look to you to interact with all levels of the target organization and align the Celonis solution with the customerÅEÄÅEs strategic goals and most important challenges. You deliver proof of concept projects and build demo systems on the customerÅEÄÅEs own data to show the business value of the Celonis solution to interested customers.QUALIFICATIONS: BA / BS (or MA / MS) from a top university or equivalentRelevant ",0 reviews,"New York, NY",New York
Data Analyst/Research Scientist,Columbia University Medical Center,"We are looking for a new person to join our research team as a Data Scientist. For this full-time officer of research position, we seek a person with strong programming, data management, analytic, and communication skills to join our team in the assessment of national claims data, clinical registry data, and electronic health records (EHR), to evaluate drivers of outcomes, quality, and value for children with congenital heart disease.The position is responsible for collaborating with Principal Investigator (PI) and working independently within the scientific framework of the Pediatric Heart Center to 1) support execution of sponsored research projects and 2) analyze/troubleshoot internal registry data to identify areas to improve care delivery. We are looking for a person with experience and graduate training related to health care delivery, public health, and/or the financing of the United States health system. The ideal candidate will have had some experience working with health administrating/insurance claims data and/or electronic health records. Prior experience with the Department of Health or other training with large data will be viewed favorably. While the position requires technical skills, we are particularly looking for a person passionate about for making the health system work more efficiently and effectively for children and in growing as a member of our team. The person hired would participate in designing applied research and conducting related analyses. Recent projects include assessing the effects of socioeconomic disparities on outcomes and resource utilization for children undergoing congenital heart surgery and examining the effects of surgeon age/experience on patient outcomes.Responsibilities would include:1) Working directly with the PI to design and implement new projects and to make sure analyses are useful, accurate, and clearly communicated.2) Merging, cleaning, documenting, and managing administrative and clinical registry-based datasets; analyzing data quality and integrity; identifying and solving data quality problems; coding and creating new variables; preparing analysis files; producing statistical summaries, charts and tables; and communicating results.No prior knowledge of congenital heart disease is required, but a desire learn and to join a team aimed at improving quality and value of care for children with complex chronic conditions is a must.Job Responsibilities: Participate in developing research designs, analytic plans, and communicating resultsDevelop programs, methodologies, and files for analyzing and presenting dataImport and clean raw datasets and evaluate data qualityPerform statistical analyses according to the study design (e.g., hierarchical modeling, survival analyses, weighted analyses, difference-in-difference, simulation, etc.)Accurately and appropriately interpret and communicate resultsDetect and address issues in data and analytic resultsClearly communicate processes used and results achieved, and suggest new and alternative approachesAssist in writing and editing manuscripts for publicationCultivate deep familiarity with methodological approaches and dataMinimum Qualifications: To qualify you must have a Masters degree in public health, healthcare administration, economics, statistics, computer science, or a related quantitative area2-5 years relevant experience (can be before or during Masters training)Strong verbal and written communication and interpersonal skills and a desire to grow as a member of the teamAttention to detailAbility to manage complex research and analysesStrong analytic, organizational, and time management skillsProficiency in STATA, SAS, R, or other statistical programsQualified candidates must be able to effectively communicate with all levels of the organization.Interested applicants apply to: academicjobs.columbia.edu/applicants/Central?quickFind=65756Job Type: Full-timeEducation:Master's",217 reviews,"New York, NY 10032",New York
Data Scientist,fractalanalytics,"As a Data Scientist, you solve complex challenges and identify new opportunities using a combination of analytical expertise, business acumen, strategic thinking, and project and relationship management skills.
RESPONSIBILITIES
Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniques
Conduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)
Prepare and present written and verbal reports, findings, and presentations to key stakeholders, distilling complex statistical information into easy-to-understand business language
Apply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insights
Manage project budgets and timelines, ensuring times and on-budget completion
QUALIFICATIONS
Experience analyzing large data sets using statistical software, such as SAS, R, Python, and SPSS, to discover new business insights
Excel and PowerPoint a must. SQL Programming and experience of at least one DBMS such as IBM DB2, Oracle, SQL Server or Sybase are required. Java strongly desired
Prior experience with building models, analyzing unstructured data, and/or machine learning
Relevant academic experience and work experience in Statistics, with exposure to data structures and data visualization
MasterÅEÄÅEs degree in Mathematics, Statistics, Engineering, Computer Science",0 reviews,"Jersey City, NJ",New York
Data Scientist,Blackboard Insurance,"We˚Ä˚re looking for a rogue Data Scientist who would push the boundaries of applying cutting-edge scientific methods and drive the development of innovative data-driven solutions within the insurance industry.

But first, get to know us:

We are Blackboard InsuranceSM: a group of tech-forward, seasoned insurance experts ready to make a real change in our industry. We believe there˚Ä˚s a better way to do commercial insurance ˚Ä˚ a way that starts with a clean slate, free from inefficiency and outdated technology. We˚Ä˚re building a state-of-the-art, tech-enabled platform that delivers faster underwriting and claims services, giving brokers and companies more time to focus on what˚Ä˚s important: building their businesses. If you˚Ä˚re ready to join the revolution, and work obsessively with us to make insurance better, faster, and more efficient, then come join us.
We know this opportunity and environment won˚Ä˚t be right for everybody. But please get in touch if you have:

Ph.D. in a scientific discipline (e.g., Applied Statistics/Mathematics, Computer Science, Engineering, or Physics).
3+ years industry experience post PHD
Scientific expertise and applied experience in Machine Learning.
Foundational knowledge of Natural Language Processing.
Knowledge of advanced statistical theories, methodologies, and inference tools (e.g., Bayesian inference, hierarchical models, deep learning, Gaussian processes, and causal inference).
Advanced programming skills in Python and/or R (and their related data processing, Machine Learning, and visualization libraries).
Practical experience in preparing data for Machine Learning.
The ability to work independently, anticipate problems, and forge a path into uncharted territory.
Excellent (written and oral) communication skills.
As a Blackboard Data Scientist, here are some of the things you will do:

Provide innovative solutions for business problems dev",0 reviews,"New York, NY",New York
Data Analyst / Data Scientist,Defined Clarity,"We have a client that is looking for a data scientist to add to its team. This position is for a Fortune 50 company that is based in Philadelphia. This is not a remote position.
Expertise in SQL Development.Call Center or Customer care data experience a plus.Must be able to write SQL queries and must have experience with data extraction
and ETL.
Experience with Teradata and SQL Server DatabasesR Studio and Python scripting is a plus.Communication and presentation skills are a must as you will have to present to key stakeholders.Tableau analysis and dashboard development is required. A minimum of three years professional-level SQL programming experience in a
Windows and Linux environment.
A Computer Science or Mathematics degree.Outstanding problem-solving skills.Ability to develop and deliver power point presentations.Knowledge of shell scripts and other languages including Java, Python or Perl is a
plus.",0 reviews,"New York, NY",New York
Staff Data Scientist,Foursquare,"About Foursquare:
Since our inception in 2009, Foursquare has been a leading force in changing how location information enriches our real-world and digital lives. As a location intelligence company, Foursquare is comprised of two well-known consumer apps, Foursquare and Swarm, as well as thriving media and enterprise products. Our B2B offerings include Places (for developers), Pinpoint and Attribution (for marketers), and Place Insights (for analysts, based on the world's largest foot traffic panel). With more than 200 people across our offices in New York, San Francisco, and in sales offices around the globe, we˚Ä˚re dedicated to our trailblazing mission˚Ä˚enriching consumer experiences and informing business decisions with location intelligence.

About our Engineering Team:
As a member of Foursquare˚Ä˚s engineering team, we want you to bring experience building real products from the ground up. We're passionate about tackling tough challenges in the location space and look for others who like to dive deep into code and help solve hard problems. You should be comfortable running with your own ideas and eager to learn new skills on a bleeding edge platform. We use a variety of tools, technologies, and languages to build software (Scala, Thrift, MongoDB, Memcached, JS/jQuery, Kafka, Pants, Hadoop, MR, Spark) but experience with equivalent ones will do just fine.

Join us and help bring our feature ideas (and your own!) off the whiteboard and into reality. Here are some high level areas you could help within our NY or SF office:


Improve the accuracy and efficiency of one of the premier Place search APIs in existence. Our API powers Foursquare City Guide and Swarm as well as apps from Microsoft, Uber, Samsung, Twitter and more
Leverage machine learning techniques to build systems which process and derive insights from billions of location data points every day
Launch features that make cities easier to explore and continue to push the Foursquare City Guide and Swarm apps forward
Build resilient services and tooling which drive all of our offline processing of petabytes of data

About the Role:
The Pilgrim team is responsible for building and maintaining models that make up the foundation of FoursquareÅEÄÅEs cutting-edge location intelligence. As a staff member on this team, you will be expected to be able to lead and execute on R&D efforts to advance our machine learning and location intelligence technology. You will be able to operate independently as well as to guide small teams of data scientists and machine learning engineers when needed in order to deliver results on enterprise-scale datasets using a variety of techniques. Our team focuses on delivering both research and software in a collaborative and supportive environment where ideation and problem-solving are vital.

Qualifications


8+ years of work or educational experience in data science, machine learning, and statistics.
3+ years of experience as a manager or technical lead
PhD degree or comparable research experience
Proven track record of delivering on products and/or practical research endeavors
Experience with one or more general purpose programming languages in",7 reviews,"New York, NY",New York
Clinical Data Assistant - IPC,NYU Langone Health,"NYU Langone Health is a world-class, patient-centered, integrated academic medical center, known for its excellence in clinical care, research, and education. It comprises more than 200 locations throughout the New York area, including five inpatient locations , a children's hospital , three emergency rooms and a level 1 trauma center. Also part of NYU Langone Health is the Laura and Isaac Perlmutter Cancer Center , a National Cancer Institute¬ødesignated cancer center, and NYU School of Medicine , which since 1841 has trained thousands of physicians and scientists who have helped to shape the course of medical history. For more information, go to nyulangone.org , and interact with us on Facebook , Twitter , YouTube and Instagram .

Position Summary:
We have an exciting opportunity to join our team as a Clinical Data Assistant-IPC.

In this role, the successful candidate The infection prevention and control clinical data assistant will oversee and assist with the transformation of data into information to guide clinicians, support staff and administration as we work to eliminate all preventable hospital-acquired infections at NYULMC

Job Responsibilities:
Enters HAI data into the government secured network (NHSN) and navigates the NHSN system to obtain different reports.
Prepares reports as needed.
Performs other duties as aligned with the mission and values of the organization.

Minimum Qualifications:
To qualify you must have a Bachelor's Degree in pertinent field (biostatistics; epidemiology; clinical informatics; information management; public health; or similar field). Experience with clinical data sources, including electronic medical records and hospital administrative data. Mastery of data analysis tools (SPSS, SAS, Stata or equivalent) and data management tools (Microsoft Access, Excel or equivalent).
Qualified candidates must be able to effectively communicate with all levels of the organization.

NYU Langone Health provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you'll feel good about devoting your time and your talents.

NYU Langone Health is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.
If you wish to view NYU Langone Health's EEO policies, please click here . Please click here to view the Federal ""EEO is the law"" poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information.",705 reviews,"New York, NY 10016",New York
Data Analytics Specialist,DEPARTMENT OF CITY PLANNING,"THE AGENCYThe Department of City Planning (DCP) plans for the strategic growth and development of the Citythrough community-based planning, developing land use policies and zoning regulations applicablecitywide and sharing its perspectives on growth and community needs with sister agencies incollaboration with the Office of Management and Budget (OMB).DCP?s six strategic objectives include: (a) catalyze long-term neighborhood improvement throughintegrated planning and targeted accompanying public investments; (b) encourage housing production,affordability, and quality; (c) promote economic development and job growth; (d) enhance resiliency andsustainability of neighborhoods; (e) ensure integrity, timeliness and responsiveness in land use reviews;and, (f) supply objective data and expertise to a broad range of planning functions and stakeholders.Central to its mission, DCP supports the City Planning Commission in its annual review of approximately450 land use applications. The Department also works closely with OMB in developing the Ten-YearCapital Strategy, and helping administer the $1 billion Neighborhood Development Fund, geared towardensuring that growing neighborhoods undergoing rezoning have accompanying infrastructureinvestments.The New York City Department of City Planning is a great place to work ? cultivating intellectualinspiration, professional development and creativity.THE DIVISIONThe Transportation Division is responsible for carrying out studies of transportation problems, needs andimpacts, as well as proposing physical, operational, policy and programmatic improvements to thetransportation system. The Division manages some of the agency?s largest data sets, including carregistrations, for-hire-vehicle trips, and travelshed data.THE POSITIONUnder supervision, the Data Analytics Specialist will be assigned to maintain, manage, process andanalyze databases that inform the agency?s transportation studies, and to carry out various planningtasks as part of an established work program. Typical tasks will include: ?Assist in the management and maintenance of large data sets;?Develop studies and produce complex analytic work, including identifying local and citywide trends andpatterns and supporting broad agency-level studies;?Conduct studies on various transportation issues, including Infrastructure, Intelligent TransportationSystems, Pedestrian, or Traffic Engineering planning studies and prepare related technical memorandaand reports;?Conduct field visits to assess existing transportation conditions;?Participate in surveys, studies and investigations of traffic conditions and recommend methods andmeans of reducing congestion and accidents;?Assist in the analysis of traffic volume counts and make recommendations concerning the arterial streetsin a specified area of the City to improve circulation, access and speeds;?Recommend appropriate policies, plans, physical and operational improvements to address specifictransportation issues;?Establish and maintain liaison with other departments, consultants and developers to provide and obtaintechnical assistance and information;?Represent the division and the department at meetings on various advisory committees;?Perform other related tasks.

Minimum Qual Requirements

1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health. To be appointed to Assignment Level II and above, candidates must have: 1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or 2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or 3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above. NOTE: Probationary Period Appointments to this position are subject to a minimum probationary period of one year.

Preferred Skills

?Proven knowledge of transportation planning issues, programs, policies and analytical techniquespertinent to New York City;?Strong writing and oral communication skills;?Strong GIS skills: ArcGIS is required, PostGIS, QGIS preferred;?Excellent data analysis skills including programming languages such as Python, R and SQL, relationaldatabase management system such as PostgreSQL, MySQL, SQLite, and data visualization such asCarto or Tableau;?Ability to work cooperatively within a team and to work independently;?Ability to work effectively with community residents, public officials and agencies;?Ability to organize assignments and complete work on time with high professional standards;?Knowledge of project planning/management, NYCT Subway & Bus operations, data gathering andanalysis techniques, NYCT rules and regulations is a plus.

To Apply

Click on ?Apply Now? at the bottom of the postingPlease be advised only candidates under consideration will be contacted.Appointments are subject to Office of Management and Budget (OMB) approval.The candidate selected for this position must be a resident of the City of New York or become a residentwithin 90 days of appointment.Authorization to work in the United States is required for this position.Sponsorship is not available for this position.THE DEPARTMENT OF CITY PLANNING IS AN EQUAL OPPORTUNITY EMPLOYER AND A COPYOF THE EQUAL OPPORTUNITY PROGRAMS IS AVAILABLE IN THE HUMAN CAPITAL DIVISION.THE DEPARTMENT MAKES AVAILABLE ACCOMMODATIONS FOR DISABLED APPLICANTS.

Residency Requirement

New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",0 reviews,"Manhattan, NY",New York
"Data Scientist, Supply Chain Analytics",HelloFresh,"Come see what˚Ä˚s cookin˚Ä˚ at HelloFresh!

At HelloFresh, our mission is to revolutionize the way we eat by making it more convenient and exciting to cook meals from scratch, at home. With offices all over the world, we deliver delicious meals to millions of customers, worldwide.

HelloFresh is one of the top three largest companies to come out of Europe over the past four years-- we are now active in nine markets, and on three continents.

Job Description:
We˚Ä˚re hiring a Data Scientist to join our Supply Chain Analytics Team here at HelloFresh. In this exciting role, you will develop cutting edge insights using a wealth of data about our suppliers, ingredients, operations, and customers to improve the customer experience, drive operational efficiencies and build new supply chain capabilities. To succeed in this role, you˚Ä˚ll need to have a genuine interest in using data and analytic techniques to solve real business challenges, and a keen interest to make a big impact on a fast-growing organization.

You will...


Support efforts across the operations organization (supply planning, logistics, procurement, production, etc) leveraging data and advanced statistical and machine learning techniques to optimize processes and procedures that lead to improved decision making that impacts quality, reliability, and cost
Communicate results and recommendations to stakeholders in a business oriented manner with clear guidelines which can be implemented across functions in the supply chain
Own the development and deployment of quantitative models to make routine and strategic operational decisions to plan the fulfillment of orders and identify the supply chain capabilities we need to build to continue succeeding in the business
Perform model and analysis assessment, validation, data gathering and cleaning activities, data visualization
Partner with our IT department to help enhance our infrastructure and data availability
Work with complex datasets across various platform to perform various types of analyses, including descriptive, prescriptive, inferential, causal, and exploratory analysesÅEÄÅEamong others

You are...


A data junkie ÅEÄÅE you love finding the details in fac",208 reviews,"New York, NY",New York
