position,company,description,numreview,location,city
Data Scientist - CA,Bind Benefits,"Position Summary
The Data Scientist will perform analyses of structured & unstructured data to solve multiple & complex business problems utilizing advanced statistical techniques & mathematical analyses & specialized expertise in organization and/or industry. A Bind Data Scientist directs and participates as an active, hands-on member a team of Data Scientists to design, develop, and implement end-to-end cloud based machine learning production pipelines (data exploration, sampling, training data generation, feature engineering, model building, and performance evaluation).
Location: San Francisco
Department: Data Science
Reports To: Data Science Lead
Employee Status: Full-Time, Regular, Exempt
Responsibilities:
Ensures that data pipelines are scalable, repeatable, and secure, and can serve multiple users within the company
Collects, parses, manages and analyzes and visualizes large sets of data using multiple platforms
Codes, tests, and documents new or modified data systems to create robust and scalable applications for data analytics
Works with developers to make sure that all data solutions are consistent and ensures all automated processes to preserve data by managing the alignment of data availability and integration processes
Essential Role Requirements
Education:
Bachelor's degree in Information Technology, Mathematics, Computer Science, or a related quantitative discipline required.
Masters in Statistics preferred.
Required Experience:
Experience working with a team of Data Scientists
Experience working with both Structured AND Unstructured data
Demonstrated experience with agile or other rapid application development methods
Health Care Data Experience required
Experience with Medical Claims Data
Ability and Experience to write Python code against Health Care Data
Experience with developing predictive models using machine learning methods; performing data quality assessment, data integration & transformation in preparation for analytics modeling
Extensive knowledge in different programming or scripting languages along with writing / running mark-up data
Expert knowledge of data modeling and understanding of different data structures
Preferred Skills:
Experience with any of the following technologies: R, SQL Server, Java, Hadoop, Hive, SPSS Modeler, SPSS Statistics, Jupyter Workbook, HTML
What is Bind?
Bind rewired health benefits to be on-demand. This means people are covered for what they need and have the flexibility to add more coverage if or when they need it. The Bind plan puts the power in people's hands, where it belongs, and allows them to design their health benefits coverage on-the-go, based on their life and needs.
The Bind app and website lets people see the total cost of care, and what their copays will be, well in advance of getting treated. No more confusing coinsurance and deductible formulas; Bind keeps things clear and simple.
Why Bind?
We believe a career at Bind should provide competitive pay and benefits, a collaborative and supportive work environment, plus
cutting-edge technology and services that focus on innovation and scale - more reasons to love it here.",0 reviews,"San Francisco, CA 94103",San Francisco
Staff Data Scientist,Course Hero,"The Role:
We are looking for an experienced Staff Data Scientist to join us and drive growth and evolution of our product. You will work with big data sets, using deep statistical models to drive actionable insights and tackle high impact business problems. Leveraging your expertise in stats and data science, as well as your business acumen and creative mind, you will be telling the story behind your insights. You˚Ä˚ll be painting a picture to our functional partners, and explain to them what the numbers are telling us, why it matters to them, and recommend product changes, new features, and A/B tests for implementation. You can expect to spend 80% of your time individually driving analyses and insights, and the other 20% mentoring other data scientists.

The Team:
The analytics team at Course Hero is central to our functional organization, and heavily influences the strategy and tactics of our company˚Ä˚s roadmap. The analytics team is rapidly growing in order to generate more and more analytical insights to fuel Course Hero˚Ä˚s growth while giving directions to our product strategy. We are also constantly improving and innovating ways that Course Hero can use data to drive growth and strategic initiatives.

Here are some ways you˚Ä˚ll make an impact:

You'll lead and work with members of the Analytics team to deliver data insights that help product owners make better business decisions and strategies.
You'll mine structured and unstructured data platforms to understand customer attributes, engagement with the products, and growth opportunities for our business. You˚Ä˚ll help model complex relationships in the presence of many confounding factors.
You˚Ä˚ll be able to come up with quick hypotheses on the fly to diagnose and explain trends in our growth rate. You˚Ä˚ll also be able to build diagnostic frameworks to come up with more scalable ways of answering business questions about trends in growth rate.
You˚Ä˚ll design innovative A/B testing techniques.
You˚Ä˚ll optimize the true impact of a test by segmenting millions of interconnected users and using a sound methodology to interpret test results in the face of such extensive interconnection.
You˚Ä˚ll work on predictive modelling problems everywhere across our product. You˚Ä˚ll design and implement machine learning models to support Course Hero products.
You'll conduct deep-dive analyses and investigations to understand customer experience including touch points, cross-channel behaviours, drivers, preferences and segmentation.
You'll proactively identify opportunity areas and propose strategic initiatives and goals to help our functional partners to achieve their goals and drive growth
You'll effectively communicate data findings to internal and external team members
You'll be an integral part of our team and continue to build on our collaborative culture
You'll always be looking for ways to improve the status quo and raise the standards of our team

*

Are you Our Star Staff Data Scientist?


You have 7-10 years of working experience in data science or analytics. Research experience gained during a doctoral program will be considered.
You have a MS or PhD degree in a scientific or quantitative field.
You have a deep understanding of data science and statistical analyses. You have experience building mathematical algorithms and machine learning models using tools like R, Python, Matlab, or Stata.
You have experience using common data mining and visualization techniques
You are proficient in SQL and have experience working with large datasets
You have experience managing or mentoring other data scientists

Bonus Points:

You have knowledge and experience working with Google Analytics, Tableau, Amplitude, and Treasure Data
You have experience working in education or e-commerce domain

What We Offer You


Industry competitive salary and stock options
Full coverage (medical, dental, vision, and life)
401(k) program to help you save for the future
Educational assistance program to support lifelong learning
Commuter benefits, cell-phone allowance, and a free gym membership
Regularly planned team outings and company events
Free weekly and discounted lunches, plus an endless snack and drink supply
Opportunity to make a meaningful impact in a revolutionary space

About Us:
Course Hero envisions a world where every student graduates, confident and prepared. We are a privately held, mission-driven edu",19 reviews,"Redwood City, CA",San Francisco
Data Scientist,CyberCube Analytics,"CyberCube delivers the most comprehensive cyber insurance analytics platform for the insurance industry.

We are solely focused on solving the hardest cyber risk challenges with world-class analytics. Our team is composed of multi-disciplinary experts across data science, cyber security, software engineering, modeling and commercial insurance. CyberCube offers products for cyber risk aggregation modeling and insurance underwriting. CyberCube leverages the threat intelligence from the world˚Ä˚s leading cyber security company, Symantec, along with several other data sources.

CyberCube is headquartered in San Francisco, California. We are backed by Symantec Ventures and Trident Capital Cybersecurity (TCC) ˚Ä˚ the world˚Ä˚s largest venture capital fund dedicated to cybersecurity early stage investing.

Role
As a Data Scientist, you will join our growing analytics & engineering teams to work on the unique cyber security data layer underlying our SaaS products. You will help build analytical models and solutions to help CyberCube Analytics products users make better data-driven decisions. This is a cross functional position with significant exposure and responsibility. This is a full-time position based in our headquarters in downtown San Francisco, California.

Responsibilities

Gather and process data at scale (scripts, scraping, APIs, database queries, etc.)
Work closely with products, analytics, and engineering team members
Design and build new analytical data models and/or enhance existing data models
Develop and implement machine learning algorithms at scale (supervised learning, unsupervised learning incl. feature extractions and PCA techniques, deep learning, etc.)
Prepare static and dynamic data visualizations for use in internal and external contexts
Assist in creating and maintaining SaaS applications

Skills

Self-starter able to work well independently as well as in various team settings
Intellectual curiosity, willingness to learn new skills, and ability to contribute ideas
Excited by mathematical problems / coding challenges
Excellent organizational and time management skills
Eager to work in an agile environment
An analytical mindset with problem-solving skills
Excellent communications and presentation skills

Key Qualifications

BachelorÅEÄÅEs or masterÅEÄÅEs degree in computer science, statistics, mathematics, or related field
At least 4 years in a data scientist or equivalent role
In-depth knowledge of machine learning algorithms and statistical modeling methods
Experience in relational database and knowledge of SQL
Excellent Python programming skills and experience with major data science libraries (Pandas, Numpy, Seaborn, Keras, TensorFlow, NLTK, etc.)
Experience working with flat files, complex data types (JSON, XML, etc.), and APIs

Bonus Points

Experience working in one or more of the following industries: cyber / data security, insurance, finance / risk modeling, consulting
Portfolio of public and private data science projects youÅEÄÅEre proud of (GitHub, Kaggle, DrivenData, etc.)
Experience in startup environments
Experience working on quantitative software products
Familiar with Spark, Hadoop, and non-relational data stores (MongoDB, Neo4j, etc.)

Why YouÅEÄÅEll Love It Here

Play an instrumental role in resha",0 reviews,"San Francisco, CA",San Francisco
Data Scientist - Biostatistics,The Climate Corporation,"Position Overview:
The Climate Corporation˚Ä˚s mission is to help the world˚Ä˚s farmers sustainably increase their productivity with digital tools. We are looking for a biostatistician with strong data analysis and modeling skills to join an interdisciplinary team of scientists. We apply big data and cloud computing in concert with some of the richest agronomic datasets in the world including weather data, environmental sensors, soil measurements, and disease observations as well as satellite and UAV imagery. You will help build robust predictive models for the spread of plant diseases and their impact on plant health, yield, and profitability, in order to help farmers make better informed management decisions. Candidates with substantially deeper experience may be hired at a more senior level. If you are interested in applying your skills in data wrangling and biostatistics to help farmers, The Climate Corporation would love to talk to you!
What You Will Do:
Lead research projects to create curated datasets, develop new disease models, and develop statistically robust experimental designs to validate models in the real world
Apply spatio-temporal statistics, machine learning, mechanistic models, survival analysis, natural language processing, and other approaches to continuously improve our models
Collaborate closely with atmospheric scientists, plant pathologists, epidemiologists, physical scientists, software engineers, product managers, and designers to design and build products that delight our customers
Mentor other scientists through direct collaboration on projects, code and paper review, and acting as a consultant as needed
Clearly communicate program direction and results to stakeholders in various parts of the organization, including science, engineering, business strategy, and product

Basic Qualifications:
M.S. +2 years of experience or Ph.D. in biostatistics, epidemiology, or another highly quantitative applied discipline
Applicant must demonstrate experience in applying statistical and/or machine learning techniques to real-world problems
Ability to write well-structured, easily maintainable, and well-documented code
Preferred Qualifications:
Experience with application of statistics to applied environmental or epidemiological problems
Experience working with big, messy datasets and deriving inferences from them
Desire to continuously improve on coding skills, including through code review with peers
Strong drive to learn new topics and skills, to develop innovative products for our customers, and build whatever is necessary along the way
Desire and ability to communicate and collaborate as a member of an agile, interdisciplinary team
Problem solving skills to develop quick yet sound solutions to resolve complex issues
Coding skills in Python, R, or similar

What We Offer:
Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for o",11 reviews,"San Francisco, CA",San Francisco
Data Scientist,LendUp,"LendUp builds technology, credit products, and educational experiences for the 56% of the adults in the US, who are currently shut out of mainstream banking because of poor credit or volatile income. That˚Ä˚s a lot of hardworking, deserving people who we believe did not have good options, until now.

Our mission is to provide anyone with a path to better financial health. Being a socially responsible, machine learning-enabled financial services company is a big job, but we˚Ä˚re driven by the challenge. Now in our sixth year, we˚Ä˚re growing each and every day as we continue to bring our mission to life. Join our passionate team and help us turn our mission into a movement.

LendUp is headquartered in downtown San Francisco with an office in Richmond, VA. We˚Ä˚re backed by prominent Silicon Valley investors including Y-Combinator, Google Ventures, PayPal, Susa Ventures, Data Collective, Kleiner Perkins, Andreessen Horowitz Seed Fund, Kapor Capital, QED, Eagle Cliff Investors, Thomvest Ventures, Alexis Ohanian, Troy Carter, and many others.

About the role:
You˚Ä˚ll power decisions at the core of LendUp on lending, growth, operations, and more. We want you to apply the best machine learning techniques to Lending, and help us find a way to help the tens of millions of Americans banks wonÅEÄÅEt lend to.

You will:

Apply advanced machine learning models and statistical techniques.
Work on every aspect of the problem: data munging, feature engineering, modeling, evaluation launching models to production, and monitoring.
Work collaboratively with our credit and growth teams to drive end-to-end implementation.
Learn from some of the smartest and most experienced data scientists and engineers in the world.

You have:

A good understanding of statistical methods and machine learning.
Proficiency in Python,",0 reviews,"San Francisco, CA",San Francisco
Data Scientist,Juvo,"Juvo was founded with an overarching mission: to establish financial identities for the billions of people worldwide who are creditworthy, yet financially excluded. In partnership with mobile network operators, Juvo˚Ä˚s proprietary Identity Scoring technology uses data science, machine learning and game mechanics to create an identity-based relationship with anonymous prepaid users, opening up access to otherwise unattainable mobile financial services.

Since emerging from stealth in September 2016, Juvo has increased its global reach five times over, from 100 million to 500 million, and has steadily grown its operations and employee base worldwide with 70 employees today. To date, Juvo has enabled over 400M transactions in 25 countries and 4 continents, with 1M active subscribers a day. Juvo˚Ä˚s mobile operator partners include Telefonica, Millicom, Sprint, Duetsche Telekom and Cable & Wireless.

In 2017, Juvo completed a $40 million USD Series B funding round with funding from Samsung NEXT and top-tier VCs including NEA, Wing Venture, and Freestyle Capital. Early investors in the company include the former CEOs of AT&T Wireless, NYSE, Sprint, Telefonica International and Vodafone Group. Juvo is frequently profiled in top tier tech and business press and our proprietary technology, Identity Scoring, is award winning.

About the Job
-------------

We are looking for a talented Data Scientist to help Juvo convert user data into personalized credit scores. You will play a central role not only in ensuring JuvoÅEÄÅEs success, but improving the financial landscape of millions, if not billions of people. As you lead key Data Science and platform initiatives, you will play a major role in t",0 reviews,"San Francisco, CA",San Francisco
Data Scientist,Thumbtack,"Have you ever tried to hire a plumber? How about a house cleaner? If you have, chances are it took you way longer than it should. In the era of instant-everything, it˚Ä˚s crazy that you still have to waste an entire afternoon researching, calling and vetting local service professionals whenever you need one. The market for hiring them is huge ˚Ä˚ $700B in the US alone ˚Ä˚ but the process is inefficient and largely offline.

Thumbtack is transforming this experience end-to-end, building a marketplace that matches millions of people with local pros for almost any project. In making these connections, not only do our customers get more done every day, our pros are able to grow their businesses and make a living doing what they˚Ä˚re great at.

---------------------------
About the Data Science Team
---------------------------

At Thumbtack, the Data Science team combines large-scale data with machine learning to shape our product that serves millions of customers and professionals. Along the way, we leverage cutting-edge data and machine learning infrastructure built on TensorFlow, Spark and BigQuery.

On Data Science, our focus is on the data problems that reside at the core of our marketplace. These include problems like matching customers to pros, pricing, ranking, supply & demand management, detecting spam, and a variety of natural language processing tasks.

--------------
About the Role
--------------

As a Data Scientist, you will partner with a large cross-functional group of engineers, product managers and other data scientists to solve some of the most challenging data science problems we face at Thumbtack.

We're looking for data scientists with deep expertise in machine learning, statistics, optimization, and/or building data products. Our process gives you full ownership over the projects you tackle, so you should be a person who dreams big, then executes well.

----------------
Responsibilities
----------------


Play a key role in architecting anding deploy machine learning systems to production
Analyze a wide variety of data: structured and unstructured, observational and experimental, to drive system designs and product implementations
Design and execute experiments, collect and analyze test data to guide launch decisions
Advise engineering and product teams on product modeling problems and statistical practices

------------------------
Must-Have Qualifications
------------------------


M.S. or equivalent experience in Computer Science, Engineering, Statistics, or other relevant technical field
",36 reviews,"San Francisco, CA",San Francisco
Machine Learning Research Scientist - Investment Management,Sentient Investment Management,"We are seeking an exceptional Machine Learning Research Scientist to join our investment strategy research team. You will participate in cutting edge research in artificial intelligence and help build AI solutions to improve and expand our existing portfolio of proprietary investment strategies.
About you:
A PhD in machine learning or closely related field
10+ years of post-PhD work
Mathematical fluency
The ability to write clean, functioning code
An urgency to create and release products
Excellent written and verbal communication skills
Successful experience in utilizing machine learning in different fields or business industries to deliver improvements in prediction, decision making or productivity. Previous financial industry a plus, but not required.
 Highly Desirable:
Extensive knowledge in deep learning, natural language processing, signal processing, graphical models, computer vision, and/or speech recognition.
Strong understanding of algorithm performance, scalability, and implementation details.
And, of course, the perks!
Take-as-you-need vacation!
10 company holidays
Tons of snacks and beverages
Catered educational lunches every Tuesday
Catered lunch every Friday
Bagels on Monday
Super-convenient location near BART, Caltrain, Muni, Ferries
Team Events, Happy Hours, Holiday Parties, more.",0 reviews,"San Francisco, CA",San Francisco
Data Scientist - Strategic Finance,Uber,"About Uber

We˚Ä˚re changing the way people think about transportation. Not that long ago we were just an app to request premium black cars in a few metropolitan areas. Now we˚Ä˚re a part of the logistical fabric of more than 600 cities around the world. Whether it˚Ä˚s a ride, a sandwich, or a package, we use technology to give people what they want, when they want it.

For the people who drive with Uber, our app represents a flexible new way to earn money. For cities, we help strengthen local economies, improve access to transportation, and make streets safer.

And that˚Ä˚s just what we˚Ä˚re doing today. We˚Ä˚re thinking about the future, too. With teams working on autonomous trucking and self-driving cars, we˚Ä˚re in for the long haul. We˚Ä˚re reimagining how people and things move from one place to the next.
About the role:

The quantitative research team within Strategic Finance is looking for entry/mid level data scientist in the field of econometrics, time series analysis and machine learning to help with modeling work related to rider/driver elasticity, understanding supply-demand relationships and much more. You will be working with team of data scientists responsible for providing insights to the finance leadership to make financial decisions. This is a unique opportunity to apply your math skills in growing Uber and having a direct impact on building an efficient transportation system.

The perfect candidate for this role is someone with a highly analytical background and at the same time has the ability to communicate the results to folks in finance, operations, etc. This role will be working very closely with company executives. Prior experience or a desire to work with executives is a plus.

What you'll do:

Develop mathematical models related to pricing optimization that will scale across major cities in which we operate
Spend time researching state of the art techniques and implementing them
Collaborate across the organization to iterate on forecasts and provide transparency for key business decisions
Day to day activities involve pulling data from warehouse, back-testing the model, comparing the model performance and communicating the results

What you'll need:

PhD in Applied Maths, Operations Research, Computer Science, Engineering, Computational Finance or Economics. MS graduates with 3 years experience can also apply.
Strong coding experience in one (or more) scientific programming languages like Python/R.
Knowledge of object-oriented programming paradigm is a plus. If you have expe",496 reviews,"San Francisco, CA 94103",San Francisco
Data Scientist - Insurance,Blue Owl,"A million people a year die in car collisions around the world and we want that number to be zero. We invite you to help us build an InsurTech company that uses rich customer insights, advanced technology and data science to save lives by preventing car collisions before they happen. To this end, we recently helped launch our first product, hiroad.com, a cloud native insurance solution that rewards people for the act of driving well.

With impressive funding, a compelling vision, and a world-class team, we're poised to re-engineer a trillion-dollar category from the ground up- and that's just where we're beginning. Longer term, we're out to change behavior and promote mindful living at a societal level.

We're seeking someone to build and support critical backend systems and services that are core to our business. This includes the rewards system that will be used to increase driver safety, designing APIs, creating/managing databases, and writing automated test suites.

General tools you build will be open sourced and will ideally be consumed by the greater community.
Job requirements
This role will require the candidate to be extremely hands on with building models and data driven tools. Past experience implementing complex data-driven solutions is required.
Advanced Python skills. Should be familiar with PythonÅEÄÅEs scientific computing ecosystem.
Advanced SAS skills. Should be familiar with SAS best practices.
Deep experience with GLMs as well as modern machine learning methods.
Actuarial science is a plus, but is not required.
More details
Salary: We invest in first-rate people and pay top-of-market salaries for most positions, factoring in experience and talent. We are unable to offer equity.
Benefits: Full medical, dental, vision coverage, 401k, daily catered lunch, wellness reimbursement & on-site shower, four weeks of vacation, six weeks of parental leave, panoramic views, and more.
Lo",0 reviews,"San Francisco, CA",San Francisco
